timestep,demand_el_reference_gas_szenario,demand_el_rapeseedoil_scenario,demand_heat_gascooker_reference,demand_heat_gasdeepfryer,demand_heat_gascooker_gasscenario,demand_heat_wws,r_wood_ofen_kitchen,r_wood_ofen_diningarea,demand_heat_wws_without_demand_heat_space_ofen_diningarea,demand_heat_space_ofen_diningarea,pv_G1_south_utilization rate_normalised,pv_G1_south_normalised,pv_G1_east_normalised,pv_G1_north_normalised,pv_G2_north_normalised,pv_G3_north_normalised,pv_G3_west_normalised,wind_bornay_1kW_20m,wind_10kW_20m_normalised
1639,1.21,1.21,0,0,0,11.5858191358025,0,0,11.5858191358025,0,0,0,0,0,0,0,0,0.100471336421639,0.082119610780468
1640,1.21,1.21,0,0,0,11.2017271604938,0,0,11.2017271604938,0,0.0171174548235347,0.0358636363636364,0.0488771929824561,0.0460475382003396,0.0378355263157895,0.0408859649122807,0.0371513157894737,0.0524242531552754,0.042848631439531
1641,1.21,1.21,0,0,0,10.6915154320988,0,0,10.6915154320988,0,0.0647002910614529,0.135556818181818,0.156600877192982,0.118752122241087,0.105164473684211,0.112394736842105,0.103646929824561,0,0
1642,1.21,1.21,0,0,0,10.2099672839506,27.7777777777778,12.987012987013,0.209967283950617,10,0.097126369534996,0.203494318181818,0.214122807017544,0.175687606112054,0.153175438596491,0.163958333333333,0.150870614035088,0,0
1643,4.01691349588628,20.9408147566219,0.281572846702305,11.7,0.563145693404609,11.5558068525311,27.7777777777778,12.987012987013,1.78725870438291,9.76854814814815,0.125377492099028,0.262684659090909,0.260236842105263,0.220118845500849,0.190377192982456,0.203195175438596,0.186879385964912,0,0
1644,6.12209861780102,23.8139258240884,0.492752481729034,11.7,0.985504963458068,12.5809514981022,27.7777777777778,12.987012987013,3.1277027326701,9.4532487654321,0.126665640236097,0.265383522727273,0.257859649122807,0.236222410865874,0.204467105263158,0.217478070175439,0.202804824561404,0,0
1645,7.52555536574416,25.7293332023994,0.633538905080189,11.7,1.26707781016038,13.239539492269,27.7777777777778,12.987012987013,4.02133208486156,9.21820740740741,0.117980809901438,0.2471875,0.253706140350877,0.238310696095076,0.206133771929825,0.221228070175439,0.207337719298246,0,0
1646,8.22728373971573,26.6870368915549,0.703932116755763,11.7,1.40786423351153,13.6060961436733,27.7777777777778,0,13.6060961436733,0,0.104984073171116,0.219957386363636,0.221855263157895,0.216901528013582,0.188677631578947,0.205638157894737,0.191212719298246,0,0
1647,8.22728373971574,26.6870368915549,0.703932116755765,11.7,1.40786423351153,13.525838118982,27.7777777777778,0,13.525838118982,0,0.0850516756817342,0.178196022727273,0.172131578947368,0.178633276740238,0.156837719298246,0.173061403508772,0.165684210526316,0,0
1648,7.52555536574417,25.7293332023994,0.633538905080187,11.7,1.26707781016037,13.1306178873307,27.7777777777778,0,13.1306178873307,0,0.0626711187592175,0.131305397727273,0.125232456140351,0.132113752122241,0.117997807017544,0.14983552631579,0.144361842105263,0.195340209890899,0.159660083933756
1649,7.52555536574417,25.2173825720316,0.492752481729035,11.7,0.98550496345807,12.4605644610652,27.7777777777778,0,12.4605644610652,0,0.0224110656941842,0.0469545454545455,0.0526052631578947,0.0642801358234295,0.054780701754386,0.0682061403508772,0.0672850877192983,0.289374220778234,0.236518187440888
1650,4.01691349588628,5.04081475662194,0.281572846702307,0,0.563145693404614,11.4583506796916,27.7777777777778,0,11.4583506796916,0,0,0,0,0.000418964346349745,0,0.000352543859649123,0,0.504724393682822,0.412533287968828
1651,1.21,1.21,0,0,0,9.75708271604938,0,0,9.75708271604938,0,0,0,0,0,0,0,0,0.690511161901087,0.564384926830467
1652,1.21,1.21,0,0,0,9.84307345679012,0,0,9.84307345679012,0,0,0,0,0,0,0,0,0.842531244832381,0.688637579236149
1653,1.21,1.21,0,0,0,9.92906419753086,0,0,9.92906419753086,0,0,0,0,0,0,0,0,0.981860647168557,0.802517584197024
1654,1.21,1.21,0,0,0,10.0093222222222,0,0,10.0093222222222,0,0,0,0,0,0,0,0,0.949096383743145,0.775737920903683
1655,1.21,1.21,0,0,0,10.095312962963,0,0,10.095312962963,0,0,0,0,0,0,0,0,1.00470733396769,0.821191179019082
1656,1.21,1.21,0,0,0,10.1813037037037,0,0,10.1813037037037,0,0,0,0,0,0,0,0,0.790113460052144,0.645794234682008
1657,1.21,1.21,0,0,0,10.2443635802469,0,0,10.2443635802469,0,0,0,0,0,0,0,0,0.872808525854878,0.713384523206557
1658,1.21,1.21,0,0,0,10.290225308642,0,0,10.290225308642,0,0,0,0,0,0,0,0,0.874421849893994,0.714703163396621
1659,1.21,1.21,0,0,0,10.3303543209877,0,0,10.3303543209877,0,0,0,0,0,0,0,0,0.81296238965059,0.664469662641883
1660,1.21,1.21,0,0,0,10.3475524691358,0,0,10.3475524691358,0,0,0,0,0,0,0,0,0.59714500859681,0.488072692490908
1661,1.21,1.21,0,0,0,10.3647506172839,0,0,10.3647506172839,0,0,0,0,0,0,0,0,0.471889634506378,0.385696005419661
1662,1.21,1.21,0,0,0,10.3704833333333,0,0,10.3704833333333,0,0,0,0,0,0,0,0,0.463380937292338,0.378741475616917
